Feature,In_SHAP_Selection,In_Domain_Expert_Drops,In_Final_Selection
MPI,True,True,False
HbA1C,True,True,False
RBS,True,False,True
BMI,True,False,True
BA,False,True,False
ECG_T_inversion,True,False,True
LDLc,True,False,True
Chest_pain,True,False,True
DT,True,False,True
K,False,True,False
FS,True,False,True
Age,True,False,True
LVIDs,True,False,True
Hb,True,True,False
HR,True,False,True
ICT,True,False,True
BNP,True,False,True
EA,True,False,True
Na,True,True,False
Wall_Subendocardial,True,False,True
LAV,True,False,True
NYHA,True,False,True
HDLc,False,True,False
Cl,False,True,False
