Threshold,Sensitivity,Specificity,Accuracy,Precision,F1 Score
0.1,1.0,0.023255813953488372,0.475,0.46835443037974683,0.6379310344827586
0.15000000000000002,1.0,0.11627906976744186,0.525,0.49333333333333335,0.6607142857142857
0.20000000000000004,1.0,0.32558139534883723,0.6375,0.5606060606060606,0.7184466019417475
0.25000000000000006,0.972972972972973,0.37209302325581395,0.65,0.5714285714285714,0.72
0.30000000000000004,0.9459459459459459,0.4883720930232558,0.7,0.6140350877192983,0.7446808510638299
0.3500000000000001,0.9459459459459459,0.5581395348837209,0.7375,0.6481481481481481,0.7692307692307693
0.40000000000000013,0.9459459459459459,0.6511627906976745,0.7875,0.7,0.8045977011494254
0.45000000000000007,0.918918918918919,0.7906976744186046,0.85,0.7906976744186046,0.85
0.5000000000000001,0.8918918918918919,0.8604651162790697,0.875,0.8461538461538461,0.868421052631579
0.5500000000000002,0.8648648648648649,0.8837209302325582,0.875,0.8648648648648649,0.8648648648648649
0.6000000000000002,0.8108108108108109,0.9302325581395349,0.875,0.9090909090909091,0.8571428571428571
0.6500000000000001,0.7567567567567568,0.9534883720930233,0.8625,0.9333333333333333,0.835820895522388
0.7000000000000002,0.7027027027027027,1.0,0.8625,1.0,0.8253968253968255
0.7500000000000002,0.5945945945945946,1.0,0.8125,1.0,0.7457627118644068
0.8000000000000002,0.5135135135135135,1.0,0.775,1.0,0.6785714285714285
0.8500000000000002,0.4864864864864865,1.0,0.7625,1.0,0.6545454545454547
0.9000000000000002,0.2702702702702703,1.0,0.6625,1.0,0.4255319148936171
0.9500000000000003,0.21621621621621623,1.0,0.6375,1.0,0.35555555555555557
